day,start_time,end_time,location,title,hosted_by,category,description
sunday,11:45:00 AM,01:15:00 PM,Jalisco B: Foro II,Los secretos del arte digital,,,
sunday,01:30:00 PM,03:00:00 PM,Jalisco B: Foro II,Diseño y creación de videojuegos,,,
sunday,03:15:00 PM,05:00:00 PM,Jalisco B: Foro II,Quieres dibujar musculos,,,
sunday,10:00:00 AM,11:30:00 AM,Jalisco B: Foro III,Salud mental para furries,,,
sunday,11:45:00 AM,12:45:00 PM,Jalisco B: Foro III,Cómo crear tú propio sistema de magia,,,
sunday,01:00:00 PM,02:00:00 PM,Jalisco B: Foro III,"Yokai Daruma, Aprendendiendo de la resilencia del daruma para hacer un proyecto realidad",,,
sunday,02:15:00 PM,03:15:00 PM,Jalisco B: Foro III,Color y personalidad en el diseño de personajes,,,
sunday,03:30:00 PM,05:00:00 PM,Jalisco B: Foro III,Cómo realizar un documental furry,,,
sunday,10:00:00 AM,11:30:00 AM,Jalisco B: Workshop Corner,Peludo y estampado: Taller de playeras,,,
sunday,11:45:00 AM,01:45:00 PM,Jalisco B: Workshop Corner,Ház tú primer peluche,,,
sunday,02:00:00 PM,03:45:00 PM,Jalisco B: Workshop Corner,El círculo de fuego,,,
sunday,04:15:00 PM,05:45:00 PM,Jalisco B: Workshop Corner,"La web indie: Un blog al puro estilo de MySpace, en 2025",,,
sunday,10:00:00 AM,11:30:00 AM,Jalisco B: Meeting room,K-Furs Meeting,,,
sunday,11:45:00 AM,01:15:00 PM,Jalisco B: Meeting room,Meet: Howl & Bone,,,
sunday,01:30:00 PM,03:00:00 PM,Jalisco B: Meeting room,Furry TikTok Meetup,,,
sunday,03:15:00 PM,04:45:00 PM,Jalisco B: Meeting room,VRChat con Chasito y amigos,"Chasito, amigos",,
