day,start_time,end_time,location,title,hosted_by,category,description,nsfw
friday,11:30:00 AM,12:30:00 PM,Jalisco B: Foro II,Finanzas personales explicadas con patitas y patitos,Muky Sam,Experiencia de vida,Esta presentación se basa en enseñarle a la comunidad maneras de como manejar sus finanzas personales de una forma simple y sencilla temas de educación financiera para que puedan lograr sus metas a corto y largo plazo.,0
friday,12:45:00 PM,02:15:00 PM,Jalisco B: Foro II,"Build-a-Bear: Cuerpos Fuertes, Almas Peludas",Ryom Bear,"Deportes, salud","Ryom Bear presentará un panel para iniciar el camino hacia tus metas físicas, con bases en ejercicio y nutrición, y estrategias para enfrentar la dismorfia corporal y la timidez. Un espacio para crecer fuerte, seguro y consciente.",1
friday,02:30:00 PM,04:00:00 PM,Jalisco B: Foro II,Salud y Cotorreo de (a) pelos,Odder / VIHveLibre,Conferencia,"DiVIHnas de Alaín Pinzón, Confuror Edition. Aprende de prevención, detección, tratamiento y experiencias; este año más interactivo! ¿Cómo puedo realizarme la prueba en casa? ¿Cómo puedo protegerme? ¿Qué hago si salgo reactivo? Acércate, resuelve dudas y pásatela de (a) pelos!",1
friday,04:15:00 PM,05:15:00 PM,Jalisco B: Foro II,El Bestiario (Animales Fantásticos),Skittles,Conferencia,"¡Hadas, Dragones, Manticoras, Esfinges, y mucho más! En esta nueva edición de Animales Fantásticos, acompañanos a explorar los mitos y leyendas reales detrás de las criaturas que encontramos en los cuentos, historias y juegos más populares.",0
friday,05:30:00 PM,06:30:00 PM,Jalisco B: Foro II,Fat Fur Art: Los cuerpos gordos en el arte furry,Lean Lion,Conferencia,"¿Interesado en dibujar cuerpo grandes? En esta plática tendrás una introducción, tips y comentarios para que empieces a dibujar una diversidad de cuerpos.",1
friday,06:45:00 PM,08:45:00 PM,Jalisco B: Foro II,Pokemeet 2.0,Nekori Snowfield,Social,"Es un panel para reunir a los furros que tengan el gusto especial a pokemon, en esta meet habrá concursos, trivias, platicas sobre la experiencia dentro del juego de pokemon y muchas cosas mas",0
friday,09:00:00 PM,10:00:00 PM,Jalisco B: Foro II,Bestias y Bocetos,Kiba2412,Taller,"Taller para práctica del dibujo al desnudo con modelo presencial, enfocado para las personas que disfrutan del bara. Un espacio cómodo y seguro para explorar la anatomía.",1
friday,11:30:00 AM,12:30:00 PM,Jalisco B: Foro III,"Yo sólo vine a jugar, y terminé sin espacio para más juegos",Furiduri,Conferencia,"Los juegos de mesa, no solo dan diversión, también te ayudan a aprender, mejorar y conectar con personas. Durante este panel te contaré mi experiencia de mi regreso al mundo de los juegos de mesa, el como, y el porqué se han vuelto algo esencial, he irremplazable en mi vida.",0
friday,12:45:00 PM,01:45:00 PM,Jalisco B: Foro III,"El universo en la semilla: Stop Motion, Biodiversidad y Sustentabilidad",Arturo Tornero Aceves,Conferencia,"Con la animación Stop Motion podemos historias que ayuden a fomentar el cuidado de la biodiversidad. En esta charla conocerás la manera de implementar estrategias de sustentabilidad y el uso de biomateriales en proyectos animados como el cortometraje ""El Universo en la Semilla"".",0
friday,02:00:00 PM,03:00:00 PM,Jalisco B: Foro III,Hacia lo salvaje: Cómo llegue a trabajar con lobos,Khaos Coyote,Conferencia,En esta charla compartiré cómo descubrí que los sueños imposibles pueden abrir caminos y convertirse en historias de conservación.,0
friday,03:15:00 PM,05:15:00 PM,Jalisco B: Foro III,100 furros dijeron,100 furros dijeron,Torneo,"Quieres jugar un juego? intenta adivinar las respuestas más populares dadas por 100 furros a una serie de preguntas, reune a tus amigos para hacer un equipo y participar en este juego.",0
friday,05:30:00 PM,06:30:00 PM,Jalisco B: Foro III,I think I like you,SydYeen y Herutastic,Conferencia,"Armando un episodio de I Think I Like You. Como trabajar en equipo con otros artistas, como administrar tiempos y como dividir tareas eficientemente. Charlas sobre lore, personajes, historia y futuro de I Think I Like You",0
friday,06:45:00 PM,07:45:00 PM,Jalisco B: Foro III,Las bases de crear un buen cómic,Tigerlion Moikana,Conferencia,"Una plática de cómo se construye un buen cómic desde la narrativa visual: ritmo, viñetas, composición y claridad. Aprende a sumergir a la gente en tu historia y evitar errores comunes comunes que desconectan a los lectores.",0
friday,08:00:00 PM,10:00:00 PM,Jalisco B: Foro III,Uso de sustancias y reducción de riesgos,Levy Dawncatcher,Conferencia,"Panel dedicado a acercar información objetiva, concisa, oportuna y sin prejuicios acerca de las sustancias que más se utilizan en el fandom mexicano y cómo reducir los riesgos al utilizarlas para mantener a la población segura.",1
friday,11:45:00 AM,01:15:00 PM,Jalisco B: Workshop Corner,Diseño de cornamenta para personajes,Chutkat,Taller,Diseño & dibujo de diferentes tipos de cornamenta para personajes,0
friday,01:30:00 PM,02:30:00 PM,Jalisco B: Workshop Corner,Proceso creativo: desarrollo de historias,Sakary Yoliztli,Conferencia,"Hablare de mi proceso para crear un mundo post humanos, donde la tecnología se 'apago ' hace siglos', y un día recuperan un objeto que los lleva en un viaje al rededor del mundo a la gran biblioteca. La tecnología de repente despierta -",0
friday,02:45:00 PM,04:45:00 PM,Jalisco B: Workshop Corner,Personajes mágicos con acuarelas,Dacachi,Taller,"Acompaña a Yuri en una aventura mágica y ayúdale a despertar sus poderes como cuentacuentos. Aprenderás conceptos clave de armonía cromática, técnicas básicas de aplicación y cómo transformar una ilustración de Yuri en un escenario lleno de emoción y fantasía",0
friday,05:00:00 PM,06:00:00 PM,Jalisco B: Workshop Corner,Entre colas y cámaras: Taller de fotografía creativa,Polux Procyon,Taller,"Taller práctico para aprender fundamentos de fotografía: manejo de luz, encuadre, ángulos y edición básica. Enfocado en capturar fursuits y actividades del fandom para mejorar la calidad de tus fotos en redes sociales",0
friday,06:15:00 PM,07:15:00 PM,Jalisco B: Workshop Corner,Arma tú PC GAMER,Dr. Caballo,Conferencia,"Una platica sobre todo lo que necesitas para armar tu PC Gamer. No importa si eres principiante o ya eres un gamer con experiencia, este es un espacio abierto para compartir consejos y recomendaciones entre la comunidad.",0
friday,07:30:00 PM,08:30:00 PM,Jalisco B: Workshop Corner,Cómo acampar y no morir en el intento,Kairos,Taller,Hablaremos y pondremos en práctica conceptos básicos sobre el campismo,0
friday,09:00:00 PM,10:00:00 PM,Jalisco B: Workshop Corner,Melones y bananas,Mika Academy,Taller,"Una botella, un plátano, una ramita... todo objeto esconde una forma más interesante si lo miras con ojos traviesos. Así enseñamos anatomía: con imaginación, picardía y objetos simples que insinúan más de lo que parecen. Porque el cuerpo también se sugiere.",1
friday,10:00:00 AM,11:45:00 AM,Jalisco B: Meeting room,Floor Wars (Eliminatoria),"Furry Trash, Confuror",Torneo,,0
friday,12:00:00 PM,02:00:00 PM,Jalisco B: Meeting room,Concurso de baile en fursuit (eliminatoria),"Astral, Confuror",Torneo,,0
